voxel_ID x y z sigma_vM epsilon_V^0.0(F)_vM
0 0 0 0 8.166074e+07 5.637854e-02
1 0 0 1 1.014777e+08 5.490954e-02
2 0 0 2 9.458890e+07 9.820255e-02
3 0 0 3 1.072686e+08 5.732152e-02
4 0 0 4 8.742254e+07 1.192998e-01
5 0 0 5 1.098751e+08 1.194225e-01
6 0 0 6 1.163036e+08 1.265692e-01
7 0 0 7 1.218938e+08 1.477107e-01
8 0 0 8 1.189235e+08 1.475053e-01
9 0 0 9 1.138873e+08 1.391662e-01
10 0 0 10 1.237941e+08 1.047494e-01
11 0 0 11 1.215684e+08 9.914487e-02
12 0 0 12 1.108751e+08 1.010322e-01
13 0 0 13 9.183925e+07 1.153405e-01
14 0 0 14 9.789472e+07 8.998553e-02
15 0 0 15 7.842396e+07 9.807218e-02
16 0 1 0 8.261211e+07 7.850625e-02
17 0 1 1 9.805388e+07 5.786509e-02
18 0 1 2 9.361225e+07 6.494921e-02
19 0 1 3 1.052463e+08 9.873547e-02
20 0 1 4 1.058551e+08 8.445275e-02
21 0 1 5 1.038684e+08 1.293966e-01
22 0 1 6 8.829377e+07 1.714096e-01
23 0 1 7 8.363762e+07 1.441050e-01
24 0 1 8 1.078318e+08 9.067566e-02
25 0 1 9 1.006171e+08 9.043173e-02
26 0 1 10 9.668038e+07 1.543092e-01
27 0 1 11 9.949037e+07 1.326083e-01
28 0 1 12 9.021393e+07 1.004893e-01
29 0 1 13 7.828505e+07 8.542802e-02
30 0 1 14 9.363488e+07 7.918956e-02
31 0 1 15 1.022718e+08 7.632057e-02
32 0 2 0 7.360446e+07 4.682065e-02
33 0 2 1 9.773580e+07 1.184586e-01
34 0 2 2 9.415521e+07 5.633575e-02
35 0 2 3 1.035414e+08 6.797193e-02
36 0 2 4 1.088828e+08 1.050482e-01
37 0 2 5 9.571125e+07 7.797203e-02
38 0 2 6 8.880676e+07 1.684470e-01
39 0 2 7 7.930814e+07 1.127143e-01
40 0 2 8 8.759667e+07 1.822499e-01
41 0 2 9 8.271201e+07 1.629885e-01
42 0 2 10 1.221706e+08 9.747981e-02
43 0 2 11 1.300856e+08 1.176515e-01
44 0 2 12 1.224409e+08 1.035623e-01
45 0 2 13 1.110763e+08 8.425547e-02
46 0 2 14 1.059537e+08 8.376654e-02
47 0 2 15 1.094545e+08 8.978917e-02
48 0 3 0 8.102418e+07 1.272189e-01
49 0 3 1 9.770467e+07 9.129403e-02
50 0 3 2 1.000686e+08 9.805302e-02
51 0 3 3 1.079606e+08 9.168026e-02
52 0 3 4 1.071062e+08 9.332482e-02
53 0 3 5 1.026418e+08 8.739413e-02
54 0 3 6 7.912934e+07 1.142893e-01
55 0 3 7 7.994561e+07 1.295475e-01
56 0 3 8 8.320557e+07 1.321319e-01
57 0 3 9 8.966833e+07 1.920031e-01
58 0 3 10 1.078816e+08 7.691906e-02
59 0 3 11 1.156779e+08 8.234992e-02
60 0 3 12 1.267095e+08 1.142319e-01
61 0 3 13 1.153605e+08 9.169152e-02
62 0 3 14 1.089507e+08 9.367636e-02
63 0 3 15 9.637654e+07 7.059140e-02
64 0 4 0 8.562884e+07 1.184039e-01
65 0 4 1 9.201833e+07 1.201032e-01
66 0 4 2 8.469865e+07 1.176298e-01
67 0 4 3 1.160286e+08 9.678391e-02
68 0 4 4 1.149745e+08 1.083356e-01
69 0 4 5 1.068457e+08 9.286010e-02
70 0 4 6 7.599304e+07 7.522582e-02
71 0 4 7 8.396603e+07 1.321388e-01
72 0 4 8 1.133722e+08 8.805996e-02
73 0 4 9 1.272779e+08 1.094086e-01
74 0 4 10 1.164424e+08 1.652179e-01
75 0 4 11 1.327277e+08 1.220754e-01
76 0 4 12 1.044798e+08 1.162732e-01
77 0 4 13 1.023926e+08 8.096893e-02
78 0 4 14 7.217511e+07 7.331282e-02
79 0 4 15 8.083974e+07 9.696579e-02
80 0 5 0 1.049956e+08 9.907165e-02
81 0 5 1 1.143248e+08 1.283854e-01
82 0 5 2 1.151962e+08 1.156409e-01
83 0 5 3 9.292431e+07 1.279467e-01
84 0 5 4 7.839318e+07 1.304200e-01
85 0 5 5 7.446376e+07 1.607197e-01
86 0 5 6 1.056629e+08 5.085079e-02
87 0 5 7 1.178114e+08 6.384559e-02
88 0 5 8 1.270325e+08 9.777831e-02
89 0 5 9 1.228828e+08 8.762452e-02
90 0 5 10 1.380723e+08 1.900229e-01
91 0 5 11 1.386185e+08 1.280626e-01
92 0 5 12 1.198370e+08 1.034903e-01
93 0 5 13 1.057566e+08 1.134617e-01
94 0 5 14 7.192953e+07 7.652312e-02
95 0 5 15 9.678979e+07 6.852478e-02
96 0 6 0 1.187343e+08 9.129187e-02
97 0 6 1 1.193102e+08 9.575333e-02
98 0 6 2 1.098100e+08 8.485788e-02
99 0 6 3 8.416742e+07 1.499409e-01
100 0 6 4 8.268107e+07 1.585180e-01
101 0 6 5 9.919462e+07 1.263989e-01
102 0 6 6 8.660133e+07 7.350515e-02
103 0 6 7 1.198815e+08 6.692786e-02
104 0 6 8 1.274577e+08 1.022921e-01
105 0 6 9 1.372539e+08 1.491255e-01
106 0 6 10 1.441864e+08 1.325097e-01
107 0 6 11 1.285635e+08 1.036470e-01
108 0 6 12 9.960616e+07 1.009300e-01
109 0 6 13 1.216795e+08 9.163792e-02
110 0 6 14 1.048286e+08 1.323379e-01
111 0 6 15 9.908572e+07 7.087426e-02
112 0 7 0 1.199099e+08 1.021528e-01
113 0 7 1 1.271372e+08 1.146033e-01
114 0 7 2 1.247603e+08 9.986344e-02
115 0 7 3 9.689083e+07 1.476835e-01
116 0 7 4 8.569934e+07 1.739552e-01
117 0 7 5 9.266934e+07 1.324032e-01
118 0 7 6 1.053519e+08 9.356407e-02
119 0 7 7 1.200271e+08 6.598957e-02
120 0 7 8 1.165790e+08 7.661749e-02
121 0 7 9 1.378176e+08 1.400006e-01
122 0 7 10 1.328034e+08 1.654043e-01
123 0 7 11 1.209928e+08 9.706491e-02
124 0 7 12 1.223657e+08 8.836524e-02
125 0 7 13 1.217830e+08 7.320568e-02
126 0 7 14 1.241259e+08 7.813130e-02
127 0 7 15 1.092967e+08 7.859655e-02
128 0 8 0 1.186726e+08 9.603342e-02
129 0 8 1 1.122564e+08 9.113794e-02
130 0 8 2 1.294009e+08 1.267502e-01
131 0 8 3 1.011217e+08 1.675885e-01
132 0 8 4 1.218016e+08 1.340697e-01
133 0 8 5 7.767885e+07 1.356909e-01
134 0 8 6 1.042955e+08 8.958069e-02
135 0 8 7 9.948532e+07 8.146403e-02
136 0 8 8 1.116945e+08 1.050453e-01
137 0 8 9 9.303281e+07 1.306039e-01
138 0 8 10 1.224271e+08 8.944602e-02
139 0 8 11 1.163859e+08 6.698362e-02
140 0 8 12 1.255513e+08 1.139679e-01
141 0 8 13 1.188039e+08 8.924295e-02
142 0 8 14 1.258267e+08 9.957443e-02
143 0 8 15 1.159127e+08 8.475319e-02
144 0 9 0 1.185695e+08 9.247232e-02
145 0 9 1 1.199700e+08 8.167049e-02
146 0 9 2 9.789677e+07 1.290171e-01
147 0 9 3 9.392282e+07 1.415500e-01
148 0 9 4 9.361955e+07 1.363952e-01
149 0 9 5 1.111247e+08 1.505132e-01
150 0 9 6 9.353457e+07 1.141050e-01
151 0 9 7 1.132324e+08 1.143830e-01
152 0 9 8 1.075319e+08 1.217066e-01
153 0 9 9 1.160919e+08 8.424683e-02
154 0 9 10 9.382021e+07 6.005968e-02
155 0 9 11 1.173391e+08 8.722841e-02
156 0 9 12 1.153629e+08 8.894539e-02
157 0 9 13 1.180086e+08 8.944213e-02
158 0 9 14 1.258660e+08 9.636876e-02
159 0 9 15 1.173678e+08 9.279074e-02
160 0 10 0 1.029079e+08 8.384558e-02
161 0 10 1 1.134022e+08 7.735412e-02
162 0 10 2 1.078409e+08 9.665528e-02
163 0 10 3 9.693824e+07 9.560206e-02
164 0 10 4 8.994259e+07 1.679525e-01
165 0 10 5 9.039883e+07 9.638451e-02
166 0 10 6 8.432070e+07 1.567130e-01
167 0 10 7 8.577666e+07 1.588033e-01
168 0 10 8 1.122438e+08 1.092488e-01
169 0 10 9 1.210651e+08 1.210457e-01
170 0 10 10 8.534352e+07 2.923185e-02
171 0 10 11 7.349741e+07 1.060974e-01
172 0 10 12 1.108890e+08 9.041427e-02
173 0 10 13 1.128815e+08 9.165635e-02
174 0 10 14 1.226821e+08 1.035079e-01
175 0 10 15 1.208894e+08 1.298412e-01
176 0 11 0 1.055750e+08 1.127278e-01
177 0 11 1 9.834840e+07 6.782129e-02
178 0 11 2 1.092181e+08 9.092393e-02
179 0 11 3 1.076053e+08 8.637642e-02
180 0 11 4 1.016351e+08 1.196728e-01
181 0 11 5 8.488493e+07 1.658091e-01
182 0 11 6 9.140870e+07 1.683157e-01
183 0 11 7 7.949954e+07 1.258028e-01
184 0 11 8 1.051841e+08 1.173419e-01
185 0 11 9 1.071014e+08 1.031219e-01
186 0 11 10 9.869514e+07 6.588255e-02
187 0 11 11 7.415158e+07 1.247636e-01
188 0 11 12 7.162032e+07 1.405922e-01
189 0 11 13 1.074638e+08 9.930434e-02
190 0 11 14 1.020414e+08 4.918770e-02
